epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,276.865,0.62282,0.58609,0.88759,0.97986,0.97882,0.98427,0.82609,0.64263,0.52504,0.85542,0.000458,0.000458,0.000458
130,278.957,0.60654,0.61262,0.89996,0.97722,0.98431,0.98388,0.82017,0.64094,0.51779,0.8546,0.000451813,0.000451813,0.000451813
131,280.687,0.64307,0.57695,0.88202,0.97722,0.98431,0.98388,0.82017,0.64094,0.51779,0.8546,0.000445625,0.000445625,0.000445625
132,282.648,0.6258,0.60364,0.89685,0.99187,0.96991,0.98361,0.81564,0.64526,0.51484,0.86565,0.000439437,0.000439437,0.000439437
133,284.509,0.62401,0.58575,0.88077,0.99187,0.96991,0.98361,0.81564,0.64526,0.51484,0.86565,0.00043325,0.00043325,0.00043325
134,286.953,0.64102,0.58974,0.88038,0.98447,0.98663,0.98508,0.82309,0.64234,0.50406,0.87,0.000427062,0.000427062,0.000427062
135,289.161,0.63397,0.57588,0.87622,0.98447,0.98663,0.98508,0.82309,0.64234,0.50406,0.87,0.000420875,0.000420875,0.000420875
136,291.221,0.64787,0.5865,0.8813,0.98569,0.9824,0.98513,0.81842,0.64317,0.49151,0.86472,0.000414688,0.000414688,0.000414688
137,292.941,0.60148,0.58513,0.8747,0.98569,0.9824,0.98513,0.81842,0.64317,0.49151,0.86472,0.0004085,0.0004085,0.0004085
138,294.782,0.61255,0.5907,0.87296,0.97969,0.99004,0.98524,0.80828,0.67305,0.50371,0.86587,0.000402312,0.000402312,0.000402312
139,296.546,0.58619,0.57349,0.87595,0.97969,0.99004,0.98524,0.80828,0.67305,0.50371,0.86587,0.000396125,0.000396125,0.000396125
140,298.522,0.60859,0.59951,0.89511,0.97998,0.99444,0.98541,0.80817,0.68589,0.51114,0.86929,0.000389938,0.000389938,0.000389938
141,301.246,0.60588,0.58098,0.89816,0.97998,0.99444,0.98541,0.80817,0.68589,0.51114,0.86929,0.00038375,0.00038375,0.00038375
142,303.279,0.63957,0.59171,0.86116,0.97995,0.99177,0.98624,0.80601,0.68819,0.51442,0.87385,0.000377563,0.000377563,0.000377563
143,305.255,0.59185,0.55354,0.87435,0.97995,0.99177,0.98624,0.80601,0.68819,0.51442,0.87385,0.000371375,0.000371375,0.000371375
144,307.117,0.62212,0.59634,0.89314,0.97976,0.98396,0.98612,0.80893,0.68824,0.52071,0.87781,0.000365188,0.000365188,0.000365188
145,308.852,0.59374,0.57011,0.88802,0.97976,0.98396,0.98612,0.80893,0.68824,0.52071,0.87781,0.000359,0.000359,0.000359
146,310.704,0.59082,0.55703,0.88449,0.98425,0.97385,0.98517,0.81216,0.67784,0.51976,0.87196,0.000352812,0.000352812,0.000352812
147,313.019,0.58495,0.52987,0.86858,0.98425,0.97385,0.98517,0.81216,0.67784,0.51976,0.87196,0.000346625,0.000346625,0.000346625
148,315.275,0.58812,0.57087,0.8786,0.97825,0.98352,0.98541,0.80366,0.6842,0.50206,0.86856,0.000340438,0.000340438,0.000340438
149,317.178,0.6473,0.57739,0.8748,0.97825,0.98352,0.98541,0.80366,0.6842,0.50206,0.86856,0.00033425,0.00033425,0.00033425
150,318.9,0.55241,0.53637,0.87816,0.98588,0.98357,0.98574,0.80997,0.67002,0.49324,0.86372,0.000328063,0.000328063,0.000328063
